RotationInterval(0-1s),PWMDutyCycle(0-1)
1.000000,0.6159
0.106284,0.6811
0.100641,0.6332
0.115827,0.6591
1.000000,0.6100
0.067077,0.6742
0.147320,0.6269
0.127229,0.6525
0.132814,0.6405
0.170520,0.6403
0.162325,0.6400
0.173320,0.6398
0.146416,0.6396
0.109281,0.6393
0.121953,0.6391
0.150765,0.6388
0.176790,0.6386
0.249198,0.6383
1.000000,0.6381
1.000000,0.6674
0.133092,0.7009
1.000000,0.6205
0.069195,0.6938
0.109864,0.6518
0.117907,0.6462
0.153096,0.6342
0.208501,0.6339
0.315532,0.6337
0.306674,0.6335
0.258982,0.6332
0.245466,0.6330
0.258887,0.6327
0.252778,0.6325
0.235286,0.6322
0.471629,0.6320
0.273159,0.6317
1.000000,0.6315
0.070310,0.6869
0.087753,0.6452
0.181848,0.6396
1.000000,0.6278
0.115232,0.6799
0.080097,0.6386
0.134373,0.6332
0.109493,0.6591
0.077495,0.6589
0.082374,0.6586
0.091418,0.6584
0.104419,0.6581
0.103752,0.6579
0.086432,0.6576
0.077854,0.6574
0.078915,0.6571
0.078032,0.6569
0.079478,0.6567
0.090828,0.6564
0.099629,0.6562
0.109601,0.6559
0.083441,0.6557
0.084567,0.6554
0.084032,0.6552
0.084194,0.6549
0.072593,0.6547
0.087682,0.6545
0.124751,0.6542
0.114889,0.6540
0.134487,0.6537
0.110268,0.6535
0.085304,0.6532
0.077307,0.6530
0.084732,0.6527
0.089980,0.6525
0.102226,0.6523
0.130355,0.6520
0.143684,0.6518
0.111281,0.6515
0.091713,0.6513
0.096667,0.6510
0.102408,0.6508
0.115570,0.6505
0.185263,0.6503
0.241032,0.6501
0.288289,0.6452
0.171035,0.6403
0.163384,0.6354
0.172309,0.6305
1.000000,0.6256
0.088189,0.6733
0.106476,0.6322
1.000000,0.6269
0.076236,0.6664
1.000000,0.6259
0.074437,0.6598
0.108228,0.6574
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.050419,0.6752
0.054858,0.6591
0.115587,0.6535
0.115365,0.6803
0.119383,0.6755
0.152015,0.6706
0.164215,0.6657
0.455578,0.6608
0.465247,0.6559
0.406334,0.6510
1.000000,0.6462
0.164104,0.6684
0.766431,0.6525
1.000000,0.6471
0.278732,0.6618
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.6552
0.111100,0.6879
1.000000,0.6462
0.136279,0.6811
0.116165,0.6784
0.131442,0.6794
0.145295,0.6735
0.183181,0.6733
0.256285,0.6730
0.261635,0.6728
0.166111,0.6725
0.141956,0.6723
0.117107,0.6720
0.107897,0.6718
0.085056,0.6716
0.101558,0.6713
0.158276,0.6711
0.146462,0.6708
0.360958,0.6659
0.335354,0.6611
0.502638,0.6562
1.000000,0.6513
0.169608,0.6742
0.178407,0.6716
0.239834,0.6725
0.381578,0.6669
1.000000,0.6620
0.489655,0.6674
0.221182,0.6650
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.036915,0.6532
0.055544,0.6508
0.054324,0.6584
0.108576,0.6525
0.109350,0.6523
0.097978,0.6520
0.102036,0.6518
0.102845,0.6515
0.098525,0.6513
0.094062,0.6510
0.112793,0.6508
0.154714,0.6505
0.141823,0.6503
0.178348,0.6501
0.124545,0.6498
0.092334,0.6496
0.082433,0.6493
0.089830,0.6491
0.098374,0.6488
0.121889,0.6486
0.127227,0.6484
0.140008,0.6435
0.133587,0.6386
