RotationInterval(0-1s),PWMDutyCycle(0-1)
1.000000,0.0000
1.000000,0.0000
0.002887,0.5609
1.000000,0.1917
1.000000,0.4259
0.091856,0.6117
1.000000,0.0000
1.000000,0.5175
0.016957,0.6071
1.000000,0.0000
1.000000,0.4628
1.000000,0.4637
1.000000,0.4598
1.000000,0.4244
0.038319,0.5829
1.000000,0.5089
1.000000,0.4137
0.006965,0.5890
1.000000,0.5363
1.000000,0.4960
1.000000,0.4691
1.000000,0.4813
1.000000,0.5309
0.007962,0.6361
0.103307,0.5844
1.000000,0.5231
1.000000,0.4916
0.082429,0.6037
0.038555,0.6545
0.018632,0.5175
0.266596,0.5140
0.491520,0.5521
0.006144,0.5585
0.083507,0.5526
1.000000,0.5319
0.180378,0.5661
1.000000,0.5143
1.000000,0.5045
0.003589,0.6527
0.068610,0.5998
0.018380,0.5524
0.141518,0.5814
0.112829,0.5551
0.027974,0.6471
0.030395,0.5705
0.077476,0.5578
0.104493,0.5658
0.135230,0.5614
1.000000,0.5319
0.110739,0.5895
0.023036,0.6850
1.000000,0.0000
0.025496,0.5600
1.000000,0.0000
1.000000,0.3463
1.000000,0.5380
0.270080,0.5534
1.000000,0.4713
0.015213,0.6918
0.246323,0.5575
1.000000,0.0000
0.110849,0.5824
0.163636,0.5643
1.000000,0.2926
1.000000,0.5270
0.031564,0.5785
1.000000,0.4723
1.000000,0.4349
1.000000,0.5556
1.000000,0.4845
1.000000,0.5626
0.186880,0.5629
0.055963,0.5722
1.000000,0.5380
1.000000,0.5111
0.037164,0.5626
0.068238,0.5639
1.000000,0.5114
1.000000,0.5284
0.090596,0.5919
0.075983,0.5912
1.000000,0.5162
1.000000,0.5280
0.004558,0.5790
0.367668,0.5697
1.000000,0.5187
0.116022,0.6098
0.028931,0.6203
1.000000,0.0000
0.303712,0.5419
1.000000,0.5226
1.000000,0.4938
0.070134,0.6510
0.000622,0.6962
0.098869,0.4984
0.014758,0.5272
1.000000,0.5248
1.000000,0.4640
0.017333,0.5526
0.083774,0.6210
0.036494,0.4855
0.077478,0.5639
0.165747,0.5250
0.002269,0.5856
0.002464,0.5853
1.000000,0.4535
0.106935,0.5658
0.002921,0.6120
0.001758,0.6107
0.005081,0.5199
1.000000,0.5182
0.074576,0.5624
0.018071,0.6786
1.000000,0.5416
1.000000,0.5209
0.140549,0.6415
0.289283,0.6242
1.000000,0.0000
0.000781,0.6244
0.046140,0.6078
1.000000,0.0000
1.000000,0.0000
0.248937,0.6107
0.284122,0.3370
0.026212,0.5004
0.000160,0.6608
1.000000,0.4151
1.000000,0.4838
0.065024,0.5497
0.026895,0.5839
1.000000,0.5265
1.000000,0.4274
1.000000,0.5436
1.000000,0.5560
0.098112,0.5756
0.055195,0.5814
1.000000,0.5238
1.000000,0.0000
1.000000,0.0000
1.000000,0.1768
1.000000,0.2176
0.001267,0.6364
0.026623,0.5468
1.000000,0.5118
1.000000,0.4667
0.013797,0.5878
1.000000,0.5621
0.621937,0.4877
0.116691,0.6125
0.048820,0.6046
0.072093,0.5729
0.204998,0.5404
0.204438,0.5665
0.118308,0.5797
1.000000,0.0000
0.095846,0.5851
1.000000,0.5179
1.000000,0.4703
0.046031,0.5915
0.074943,0.5897
1.000000,0.5072
1.000000,0.5380
0.033418,0.5995
0.225999,0.5810
1.000000,0.5680
0.159289,0.5980
0.096541,0.5834
0.069297,0.6147
0.047868,0.5631
0.093493,0.5570
0.185243,0.5529
0.188762,0.5726
0.083784,0.5988
0.064397,0.5861
0.075507,0.5853
0.133563,0.5595
1.000000,0.0000
1.000000,0.5556
0.102806,0.5851
0.095921,0.6081
0.056798,0.6117
0.067757,0.5722
0.148001,0.5595
0.091822,0.5880
0.068284,0.5775
0.074295,0.5924
0.098650,0.5683
0.085482,0.6059
0.063682,0.5910
0.062568,0.6046
0.064018,0.5819
0.268667,0.5626
0.146027,0.5805
0.087795,0.5919
0.063360,0.6061
0.050653,0.5895
0.062477,0.5726
0.097278,0.5639
1.000000,0.5446
0.166230,0.5705
0.062881,0.6462
0.039483,0.5929
1.000000,0.0000
1.000000,0.5785
1.000000,0.4967
1.000000,0.5172
0.086463,0.6095
0.048092,0.6845
0.014621,0.4796
0.938096,0.5219
1.000000,0.5553
0.116164,0.5978
0.046944,0.6391
0.032042,0.5358
0.129164,0.5519
1.000000,0.5094
0.121962,0.5827
1.000000,0.4908
1.000000,0.5106
0.204735,0.5665
0.067032,0.6317
0.068955,0.5495
0.383337,0.5722
1.000000,0.5446
0.117656,0.6098
0.103734,0.5670
1.000000,0.5426
0.113394,0.6215
0.043411,0.6442
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0083
1.000000,0.0203
1.000000,0.0073
1.000000,0.0100
1.000000,0.0176
1.000000,0.0000
1.000000,0.0203
1.000000,0.0479
1.000000,0.0000
1.000000,0.0000
1.000000,0.0239
1.000000,0.0269
1.000000,0.0000
1.000000,0.0335
1.000000,0.0584
1.000000,0.0818
1.000000,0.1021
1.000000,0.0615
1.000000,0.1590
1.000000,0.1900
1.000000,0.1133
1.000000,0.1074
1.000000,0.1468
1.000000,0.1284
1.000000,0.1639
1.000000,0.2288
1.000000,0.2066
1.000000,0.2904
1.000000,0.2396
1.000000,0.3006
1.000000,0.2056
1.000000,0.3114
1.000000,0.3817
1.000000,0.3309
1.000000,0.2449
1.000000,0.2637
1.000000,0.2664
1.000000,0.4027
1.000000,0.2569
1.000000,0.4491
1.000000,0.3433
1.000000,0.4166
1.000000,0.3734
1.000000,0.4225
1.000000,0.3963
1.000000,0.4979
1.000000,0.4537
1.000000,0.4342
1.000000,0.5304
1.000000,0.5438
1.000000,0.4618
1.000000,0.4532
0.114834,0.5700
1.000000,0.4691
1.000000,0.4513
1.000000,0.5372
1.000000,0.4850
1.000000,0.5238
0.093040,0.6017
1.000000,0.4737
1.000000,0.5055
0.107493,0.5861
1.000000,0.5438
1.000000,0.5404
1.000000,0.5387
0.085333,0.6234
0.058269,0.5792
1.000000,0.0000
1.000000,0.5214
1.000000,0.4811
1.000000,0.5123
0.161089,0.5726
0.082102,0.6171
1.000000,0.5001
0.108000,0.5280
0.112260,0.5993
0.093763,0.5385
1.000000,0.0000
1.000000,0.5365
1.000000,0.4723
0.156036,0.5822
1.000000,0.4957
0.032121,0.6701
0.028225,0.4774
1.000000,0.4943
1.000000,0.5192
0.099263,0.5734
0.100901,0.6002
1.000000,0.5470
1.000000,0.5531
0.089061,0.6125
0.086919,0.6117
1.000000,0.5231
1.000000,0.5526
0.075014,0.6068
0.052463,0.6413
0.028240,0.5729
0.060548,0.5956
0.113497,0.5514
1.000000,0.5495
0.055685,0.5822
0.065461,0.6181
0.039810,0.5643
0.173723,0.5524
0.142677,0.5673
0.090760,0.5993
0.058694,0.6212
0.055205,0.5602
0.070828,0.6066
0.040367,0.6144
0.027770,0.6252
0.016841,0.6149
0.018455,0.6076
0.019684,0.5880
0.026599,0.5692
0.043070,0.5741
0.042359,0.6132
0.034508,0.5895
0.048389,0.5856
0.054636,0.6178
0.036892,0.6252
0.029617,0.6107
0.026275,0.6337
0.021794,0.6225
0.015761,0.6364
0.012801,0.6357
0.007575,0.6327
0.005278,0.6581
0.003394,0.6344
0.002769,0.6405
0.005513,0.6254
0.010605,0.6349
0.005956,0.6330
0.008074,0.6317
0.005498,0.6574
0.003757,0.6623
0.000537,0.6515
