RotationInterval(0-1s),PWMDutyCycle(0-1)
0.020545,0.1128
0.014384,0.0899
0.016738,0.0901
0.016924,0.1194
0.013575,0.0928
0.016536,0.0889
0.013296,0.1067
0.010123,0.1023
0.008027,0.1145
0.006393,0.1221
0.003193,0.1065
0.004690,0.0926
0.004723,0.1043
0.006553,0.1040
0.004073,0.1148
0.001376,0.1138
0.001142,0.1062
0.000650,0.1228
0.000168,0.0913
0.000160,0.0933
0.001029,0.0847
0.001700,0.1009
0.001627,0.1136
0.003282,0.1011
0.004212,0.0918
0.005158,0.1087
0.008663,0.1053
0.015806,0.0855
0.046928,0.0884
1.000000,0.1060
1.000000,0.1219
1.000000,0.0894
1.000000,0.1258
1.000000,0.0987
0.048758,0.1775
0.009806,0.1416
0.007967,0.1001
0.011839,0.0991
0.013387,0.1289
0.008406,0.0935
0.007273,0.1297
0.002439,0.1143
0.001633,0.1192
0.001195,0.0955
0.000113,0.0960
0.001777,0.1016
0.001934,0.1241
0.003152,0.1082
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.018467,0.1153
0.024087,0.1050
0.015804,0.1165
0.013857,0.0933
0.009957,0.1143
0.007939,0.1109
0.003010,0.0930
0.004227,0.1057
0.002827,0.1001
0.003956,0.1226
0.001102,0.1228
0.022243,0.0969
0.001880,0.1118
0.008250,0.1123
0.009463,0.1013
0.020270,0.1048
0.034064,0.1167
0.047598,0.1026
0.064594,0.1045
0.037796,0.1238
0.028924,0.1040
0.016784,0.0977
0.011464,0.0926
0.008754,0.1072
0.004513,0.1143
0.004137,0.0908
0.002820,0.1087
0.002629,0.1111
0.002241,0.1118
0.019907,0.1255
0.018976,0.1187
0.015856,0.0926
0.017328,0.1258
0.013392,0.1280
0.016574,0.1167
0.013630,0.1087
0.016538,0.1136
0.017810,0.0991
0.001568,0.0943
0.001056,0.1158
0.002680,0.1140
0.006295,0.1028
0.003334,0.1201
0.005435,0.1118
0.004045,0.1267
0.002825,0.1223
0.022157,0.1187
0.000191,0.1226
0.020421,0.0904
0.022365,0.1077
0.002277,0.0911
0.003546,0.1060
0.010915,0.0952
0.022905,0.0891
