RotationInterval(0-1s),PWMDutyCycle(0-1)
0.227547,0.6203
0.180132,0.6288
1.000000,0.6217
0.219290,0.6647
0.137503,0.6261
0.101623,0.6274
0.118770,0.6166
0.144384,0.6156
0.166776,0.6144
0.213464,0.6139
0.218204,0.6156
0.287784,0.6156
0.227519,0.6195
0.354279,0.6161
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.034759,0.6628
0.041208,0.6208
0.052829,0.6173
0.059833,0.6125
0.051742,0.6137
0.054402,0.6098
0.065116,0.6078
0.070943,0.6066
0.075166,0.6049
0.069978,0.6034
0.072348,0.6020
0.077171,0.6010
0.079805,0.6002
0.085374,0.5995
0.084960,0.5988
0.081125,0.5980
0.088437,0.5968
0.099746,0.5963
0.109379,0.5963
0.126841,0.5958
0.131647,0.5961
0.146502,0.5961
0.163411,0.5966
0.157427,0.5976
0.134768,0.5973
0.120358,0.5958
0.103764,0.5951
0.096456,0.5944
0.096621,0.5941
0.096475,0.5941
0.108338,0.5941
0.139806,0.5946
0.139601,0.5961
0.141770,0.5961
0.134530,0.5961
0.135727,0.5958
0.138306,0.5958
0.131413,0.5961
0.149775,0.5956
0.163991,0.5966
0.157688,0.5976
0.128630,0.5971
0.105468,0.5954
0.094448,0.5941
0.111506,0.5939
0.102653,0.5949
0.097176,0.5941
0.106271,0.5939
0.130345,0.5944
0.157175,0.5956
0.160275,0.5971
0.125370,0.5971
0.140365,0.5951
0.135896,0.5961
0.125152,0.5961
0.185542,0.5954
1.000000,0.5988
0.131452,0.6571
0.057095,0.6161
0.059195,0.6215
0.043965,0.6134
0.048730,0.6129
0.052949,0.6098
0.056617,0.6085
0.061798,0.6066
0.071257,0.6049
0.078202,0.6034
0.088793,0.6024
0.100053,0.6020
0.106947,0.6015
0.103995,0.6010
0.099468,0.6000
0.091713,0.5988
0.095123,0.5976
0.105596,0.5968
0.110594,0.5966
0.109401,0.5961
0.102284,0.5951
0.108484,0.5946
0.130737,0.5949
0.136034,0.5958
0.153720,0.5961
0.206015,0.5968
0.170878,0.5998
0.206287,0.5980
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.039633,0.6628
0.146698,0.6210
0.331342,0.6205
1.000000,0.6107
0.097007,0.6635
0.175666,0.6198
0.116600,0.6264
0.123967,0.6171
0.131285,0.6144
0.158623,0.6122
0.185237,0.6122
0.257225,0.6125
1.000000,0.6164
0.095448,0.6613
0.188884,0.6190
0.245981,0.6266
0.193647,0.6252
0.208333,0.6195
0.255348,0.6183
0.187020,0.6210
0.165924,0.6154
0.194098,0.6127
0.190668,0.6139
0.153130,0.6127
0.140236,0.6088
0.246705,0.6071
0.200808,0.6137
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.036293,0.6628
0.045455,0.6208
0.059847,0.6176
0.056179,0.6120
0.049694,0.6134
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.075057,0.6628
0.095461,0.6227
0.106418,0.6200
0.179539,0.6078
0.228457,0.6171
0.242130,0.6178
0.336311,0.6178
0.258929,0.6234
0.192127,0.6190
1.000000,0.6137
0.102540,0.6618
0.146017,0.6190
0.118785,0.6254
0.120353,0.6168
0.120234,0.6142
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.081928,0.6628
0.085568,0.6230
0.084402,0.6198
0.107980,0.6081
0.165282,0.6127
0.263104,0.6132
1.000000,0.6186
0.125029,0.6618
0.108659,0.6203
0.141765,0.6247
0.174568,0.6183
0.175109,0.6181
0.174975,0.6151
0.218877,0.6134
0.150242,0.6154
0.189247,0.6100
0.155346,0.6110
0.178153,0.6083
0.236144,0.6083
0.227041,0.6120
0.265988,0.6112
1.000000,0.6134
0.109379,0.6603
0.136977,0.6188
0.124776,0.6249
0.166579,0.6168
0.198020,0.6171
0.166420,0.6164
0.133284,0.6127
0.153600,0.6090
0.186120,0.6093
0.220349,0.6103
0.206429,0.6120
0.220222,0.6107
0.229600,0.6115
1.000000,0.6122
0.034397,0.6603
1.000000,0.6168
0.058487,0.6554
1.000000,0.6208
0.035306,0.6564
1.000000,0.6205
0.022492,0.6569
1.000000,0.6215
0.188540,0.6569
0.148737,0.6252
0.179537,0.6261
0.190431,0.6203
0.183533,0.6190
0.179534,0.6156
0.199806,0.6139
0.209217,0.6137
0.264853,0.6137
0.244270,0.6168
0.309772,0.6154
0.227813,0.6193
0.379039,0.6144
0.220856,0.6234
1.000000,0.6144
0.093330,0.6601
0.210064,0.6190
0.199747,0.6278
0.183170,0.6222
0.159881,0.6186
0.170371,0.6147
0.151668,0.6142
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.038144,0.6628
0.046418,0.6208
0.060736,0.6176
0.057259,0.6117
0.046926,0.6134
0.054039,0.6093
0.056099,0.6078
0.060393,0.6063
0.069012,0.6046
0.072333,0.6032
0.076080,0.6022
0.074969,0.6012
0.085372,0.6000
0.104005,0.5998
0.114444,0.6000
0.118865,0.5995
0.110772,0.5990
0.089737,0.5978
0.087548,0.5958
0.095592,0.5951
0.090659,0.5949
0.098690,0.5944
0.098600,0.5944
0.091684,0.5941
0.100178,0.5937
0.105804,0.5941
0.107903,0.5944
0.120791,0.5944
0.123451,0.5949
0.136471,0.5951
0.137760,0.5958
0.134940,0.5958
0.119362,0.5956
0.111187,0.5949
0.094227,0.5944
0.092223,0.5937
0.099225,0.5937
0.097665,0.5941
0.103509,0.5939
0.116120,0.5941
0.118507,0.5946
0.139507,0.5949
0.133023,0.5958
