RotationInterval(0-1s),PWMDutyCycle(0-1)
0.005751,0.5998
0.026919,0.6379
0.008476,0.5819
0.020447,0.5746
0.054729,0.5790
0.058057,0.5912
0.058799,0.5773
1.000000,0.5724
0.087348,0.5866
1.000000,0.5731
1.000000,0.5709
1.000000,0.5512
1.000000,0.5665
1.000000,0.5946
0.004024,0.6225
0.028125,0.6178
0.017960,0.5929
0.026628,0.5895
0.038977,0.5907
0.047930,0.5849
0.044047,0.5966
0.038914,0.5805
0.063552,0.5822
0.059101,0.5873
0.053217,0.5866
0.044373,0.5956
0.035144,0.5893
0.060937,0.5758
0.084421,0.5817
0.096864,0.5756
0.079519,0.5836
0.087564,0.5753
0.084560,0.5824
0.077677,0.5827
0.075505,0.5822
0.071129,0.5812
0.071593,0.5810
0.078893,0.5788
0.082131,0.5795
0.078408,0.5792
0.083563,0.5768
0.086379,0.5785
0.095721,0.5761
0.101872,0.5758
0.096857,0.5766
0.086878,0.5768
0.083769,0.5775
0.086787,0.5751
0.093212,0.5763
0.100352,0.5748
0.113606,0.5753
0.127970,0.5758
0.083481,0.5814
0.063855,0.5817
0.081672,0.5753
1.000000,0.5692
1.000000,0.5739
1.000000,0.5861
0.031013,0.6386
0.007436,0.5993
0.011794,0.5856
0.027281,0.5819
1.000000,0.5690
1.000000,0.5717
1.000000,0.5985
0.004149,0.6422
0.019016,0.6300
0.009852,0.5978
0.015339,0.5868
0.029351,0.5880
0.046369,0.5800
0.071979,0.5812
0.060619,0.5868
0.069092,0.5792
1.000000,0.5731
0.069979,0.5780
0.043547,0.6142
0.026743,0.5643
0.079980,0.5788
0.089407,0.5785
0.076353,0.5819
0.067500,0.5829
0.063022,0.5817
0.062286,0.5827
0.062485,0.5807
0.086753,0.5768
0.121873,0.5739
0.095929,0.5783
0.066725,0.5841
0.064841,0.5790
0.068207,0.5814
0.068573,0.5805
0.073036,0.5812
0.083320,0.5780
0.117926,0.5761
0.114997,0.5766
0.077906,0.5812
0.066008,0.5814
0.080046,0.5758
0.068316,0.5856
0.068080,0.5746
1.000000,0.5690
1.000000,0.5702
1.000000,0.5519
0.064000,0.5941
0.030862,0.6022
0.032466,0.5761
0.057796,0.5844
1.000000,0.5705
